-,IL3_L_1_B_072,IL3_L_1_B_073,IL3_L_1_B_076
cluster-370,1174,4,479
cluster-180,262,2,70
cluster-9,1121,10,321
cluster-218,112,3,47
cluster-256,25,1,16
cluster-85,316,3,66
cluster-28,19,9,29
cluster-313,322,10,89
cluster-380,2,3,2
cluster-190,71,0,35
cluster-266,149,1,90
cluster-0,45,0,21
cluster-38,926,23,414
cluster-656,515,4,159
cluster-10,264,2,90
cluster-219,110,2,34
cluster-48,64,7,32
cluster-86,14,20,20
cluster-352,118,7,38
cluster-628,55,3,11
cluster-153,1995,36,694
cluster-172,40,2,14
cluster-1,404,4,140
cluster-286,107,0,39
cluster-163,24,5,6
cluster-201,199,4,62
cluster-11,91,0,19
cluster-363,60,7,36
cluster-59,885,17,536
cluster-192,1021,15,300
cluster-810,53,1,33
cluster-31,113,1,48
cluster-69,232,2,126
cluster-183,267,4,108
cluster-50,854,4,478
cluster-259,21,2,6
cluster-88,141,1,73
cluster-136,3,6,5
cluster-79,886,9,282
cluster-326,237,6,132
cluster-155,25,3,86
cluster-269,192,3,64
cluster-659,374,3,151
cluster-374,89,4,39
cluster-70,895,22,353
cluster-13,4356,21,1757
cluster-260,149,2,46
cluster-498,5,0,7
cluster-479,281,4,58
cluster-4,1306,18,437
cluster-251,213,1,51
cluster-394,138,1,54
cluster-375,558,7,232
cluster-356,13,1,5
cluster-337,507,3,143
cluster-166,183,3,67
cluster-33,49,0,25
cluster-727,155,4,64
cluster-575,208,1,94
cluster-480,3,6,6
cluster-366,455,8,203
cluster-328,104,0,31
cluster-62,2823,42,1046
cluster-176,445,9,235
cluster-452,71,3,27
cluster-433,282,5,96
cluster-243,575,6,112
cluster-310,498,9,243
cluster-139,38,15,20
cluster-6,612,6,188
cluster-510,137,1,36
cluster-92,300,1,155
cluster-35,116,6,21
cluster-149,138,3,49
cluster-216,367,6,95
cluster-45,211,15,53
cluster-83,379,4,144
cluster-910,74,0,41
cluster-74,38,1,14
cluster-283,429,5,223
cluster-112,95,2,31
cluster-502,496,8,120
cluster-388,71,0,34
cluster-350,217,3,68
cluster-46,11,2,3
cluster-84,248,2,65
cluster-550,90,3,12
cluster-227,258,4,54
cluster-303,195,2,58
